[Sun Dec 02 03:37:57.596016 2018] [php7:error] [pid 22871] [client 127.0.0.1:33370] PHP Fatal error:  Uncaught ErrorException: file_put_contents(/var/www/falanga/storage/framework/views/71a3f8294e1e35839e0e0480c2ff81f2c0d88573.php): failed to open stream: Permission denied in /var/www/falanga/vendor/laravel/framework/src/Illuminate/Filesystem/Filesystem.php:122\nStack trace:\n#0 [internal function]: Illuminate\\Foundation\\Bootstrap\\HandleExceptions->handleError(2, 'file_put_conten...', '/var/www/falang...', 122, Array)\n#1 /var/www/falanga/vendor/laravel/framework/src/Illuminate/Filesystem/Filesystem.php(122): file_put_contents('/var/www/falang...', '<?php $__env->s...', 0)\n#2 /var/www/falanga/vendor/laravel/framework/src/Illuminate/View/Compilers/BladeCompiler.php(122): Illuminate\\Filesystem\\Filesystem->put('/var/www/falang...', '<?php $__env->s...')\n#3 /var/www/falanga/vendor/laravel/framework/src/Illuminate/View/Engines/CompilerEngine.php(51): Illuminate\\View\\Compilers\\BladeCompiler->compile('/var/www/falang...')\n#4 /var/www/falanga/vendor/laravel/framework/src/Illuminate/View/View.php(142): Illuminate\\View\\En in /var/www/falanga/vendor/laravel/framework/src/Illuminate/Filesystem/Filesystem.php on line 122
[Sun Dec 02 03:37:57.605110 2018] [php7:error] [pid 22871] [client 127.0.0.1:33370] PHP Fatal error:  Uncaught ErrorException: file_put_contents(/var/www/falanga/storage/framework/views/71a3f8294e1e35839e0e0480c2ff81f2c0d88573.php): failed to open stream: Permission denied in /var/www/falanga/vendor/laravel/framework/src/Illuminate/Filesystem/Filesystem.php:122\nStack trace:\n#0 [internal function]: Illuminate\\Foundation\\Bootstrap\\HandleExceptions->handleError(2, 'file_put_conten...', '/var/www/falang...', 122, Array)\n#1 /var/www/falanga/vendor/laravel/framework/src/Illuminate/Filesystem/Filesystem.php(122): file_put_contents('/var/www/falang...', '<?php $__env->s...', 0)\n#2 /var/www/falanga/vendor/laravel/framework/src/Illuminate/View/Compilers/BladeCompiler.php(122): Illuminate\\Filesystem\\Filesystem->put('/var/www/falang...', '<?php $__env->s...')\n#3 /var/www/falanga/vendor/laravel/framework/src/Illuminate/View/Engines/CompilerEngine.php(51): Illuminate\\View\\Compilers\\BladeCompiler->compile('/var/www/falang...')\n#4 /var/www/falanga/vendor/laravel/framework/src/Illuminate/View/View.php(142): Illuminate\\View\\En in /var/www/falanga/vendor/laravel/framework/src/Illuminate/Filesystem/Filesystem.php on line 122
[Sun Dec 02 03:38:23.116240 2018] [php7:error] [pid 22868] [client 127.0.0.1:33376] PHP Fatal error:  Uncaught ErrorException: file_put_contents(/var/www/falanga/storage/framework/views/71a3f8294e1e35839e0e0480c2ff81f2c0d88573.php): failed to open stream: Permission denied in /var/www/falanga/vendor/laravel/framework/src/Illuminate/Filesystem/Filesystem.php:122\nStack trace:\n#0 [internal function]: Illuminate\\Foundation\\Bootstrap\\HandleExceptions->handleError(2, 'file_put_conten...', '/var/www/falang...', 122, Array)\n#1 /var/www/falanga/vendor/laravel/framework/src/Illuminate/Filesystem/Filesystem.php(122): file_put_contents('/var/www/falang...', '<?php $__env->s...', 0)\n#2 /var/www/falanga/vendor/laravel/framework/src/Illuminate/View/Compilers/BladeCompiler.php(122): Illuminate\\Filesystem\\Filesystem->put('/var/www/falang...', '<?php $__env->s...')\n#3 /var/www/falanga/vendor/laravel/framework/src/Illuminate/View/Engines/CompilerEngine.php(51): Illuminate\\View\\Compilers\\BladeCompiler->compile('/var/www/falang...')\n#4 /var/www/falanga/vendor/laravel/framework/src/Illuminate/View/View.php(142): Illuminate\\View\\En in /var/www/falanga/vendor/laravel/framework/src/Illuminate/Filesystem/Filesystem.php on line 122
[Sun Dec 02 03:38:23.117065 2018] [php7:error] [pid 22868] [client 127.0.0.1:33376] PHP Fatal error:  Uncaught ErrorException: file_put_contents(/var/www/falanga/storage/framework/views/71a3f8294e1e35839e0e0480c2ff81f2c0d88573.php): failed to open stream: Permission denied in /var/www/falanga/vendor/laravel/framework/src/Illuminate/Filesystem/Filesystem.php:122\nStack trace:\n#0 [internal function]: Illuminate\\Foundation\\Bootstrap\\HandleExceptions->handleError(2, 'file_put_conten...', '/var/www/falang...', 122, Array)\n#1 /var/www/falanga/vendor/laravel/framework/src/Illuminate/Filesystem/Filesystem.php(122): file_put_contents('/var/www/falang...', '<?php $__env->s...', 0)\n#2 /var/www/falanga/vendor/laravel/framework/src/Illuminate/View/Compilers/BladeCompiler.php(122): Illuminate\\Filesystem\\Filesystem->put('/var/www/falang...', '<?php $__env->s...')\n#3 /var/www/falanga/vendor/laravel/framework/src/Illuminate/View/Engines/CompilerEngine.php(51): Illuminate\\View\\Compilers\\BladeCompiler->compile('/var/www/falang...')\n#4 /var/www/falanga/vendor/laravel/framework/src/Illuminate/View/View.php(142): Illuminate\\View\\En in /var/www/falanga/vendor/laravel/framework/src/Illuminate/Filesystem/Filesystem.php on line 122
[Sun Dec 02 03:45:56.920336 2018] [php7:error] [pid 23224] [client 127.0.0.1:33412] PHP Fatal error:  Uncaught ErrorException: file_put_contents(/var/www/falanga/storage/framework/views/71a3f8294e1e35839e0e0480c2ff81f2c0d88573.php): failed to open stream: Permission denied in /var/www/falanga/vendor/laravel/framework/src/Illuminate/Filesystem/Filesystem.php:122\nStack trace:\n#0 [internal function]: Illuminate\\Foundation\\Bootstrap\\HandleExceptions->handleError(2, 'file_put_conten...', '/var/www/falang...', 122, Array)\n#1 /var/www/falanga/vendor/laravel/framework/src/Illuminate/Filesystem/Filesystem.php(122): file_put_contents('/var/www/falang...', '<?php $__env->s...', 0)\n#2 /var/www/falanga/vendor/laravel/framework/src/Illuminate/View/Compilers/BladeCompiler.php(122): Illuminate\\Filesystem\\Filesystem->put('/var/www/falang...', '<?php $__env->s...')\n#3 /var/www/falanga/vendor/laravel/framework/src/Illuminate/View/Engines/CompilerEngine.php(51): Illuminate\\View\\Compilers\\BladeCompiler->compile('/var/www/falang...')\n#4 /var/www/falanga/vendor/laravel/framework/src/Illuminate/View/View.php(142): Illuminate\\View\\En in /var/www/falanga/vendor/laravel/framework/src/Illuminate/Filesystem/Filesystem.php on line 122
[Sun Dec 02 03:45:56.921262 2018] [php7:error] [pid 23224] [client 127.0.0.1:33412] PHP Fatal error:  Uncaught ErrorException: file_put_contents(/var/www/falanga/storage/framework/views/71a3f8294e1e35839e0e0480c2ff81f2c0d88573.php): failed to open stream: Permission denied in /var/www/falanga/vendor/laravel/framework/src/Illuminate/Filesystem/Filesystem.php:122\nStack trace:\n#0 [internal function]: Illuminate\\Foundation\\Bootstrap\\HandleExceptions->handleError(2, 'file_put_conten...', '/var/www/falang...', 122, Array)\n#1 /var/www/falanga/vendor/laravel/framework/src/Illuminate/Filesystem/Filesystem.php(122): file_put_contents('/var/www/falang...', '<?php $__env->s...', 0)\n#2 /var/www/falanga/vendor/laravel/framework/src/Illuminate/View/Compilers/BladeCompiler.php(122): Illuminate\\Filesystem\\Filesystem->put('/var/www/falang...', '<?php $__env->s...')\n#3 /var/www/falanga/vendor/laravel/framework/src/Illuminate/View/Engines/CompilerEngine.php(51): Illuminate\\View\\Compilers\\BladeCompiler->compile('/var/www/falang...')\n#4 /var/www/falanga/vendor/laravel/framework/src/Illuminate/View/View.php(142): Illuminate\\View\\En in /var/www/falanga/vendor/laravel/framework/src/Illuminate/Filesystem/Filesystem.php on line 122
[Sun Dec 02 03:46:14.228171 2018] [php7:error] [pid 23226] [client 127.0.0.1:33416] PHP Fatal error:  Uncaught ErrorException: file_put_contents(/var/www/falanga/storage/framework/views/71a3f8294e1e35839e0e0480c2ff81f2c0d88573.php): failed to open stream: Permission denied in /var/www/falanga/vendor/laravel/framework/src/Illuminate/Filesystem/Filesystem.php:122\nStack trace:\n#0 [internal function]: Illuminate\\Foundation\\Bootstrap\\HandleExceptions->handleError(2, 'file_put_conten...', '/var/www/falang...', 122, Array)\n#1 /var/www/falanga/vendor/laravel/framework/src/Illuminate/Filesystem/Filesystem.php(122): file_put_contents('/var/www/falang...', '<?php $__env->s...', 0)\n#2 /var/www/falanga/vendor/laravel/framework/src/Illuminate/View/Compilers/BladeCompiler.php(122): Illuminate\\Filesystem\\Filesystem->put('/var/www/falang...', '<?php $__env->s...')\n#3 /var/www/falanga/vendor/laravel/framework/src/Illuminate/View/Engines/CompilerEngine.php(51): Illuminate\\View\\Compilers\\BladeCompiler->compile('/var/www/falang...')\n#4 /var/www/falanga/vendor/laravel/framework/src/Illuminate/View/View.php(142): Illuminate\\View\\En in /var/www/falanga/vendor/laravel/framework/src/Illuminate/Filesystem/Filesystem.php on line 122
[Sun Dec 02 03:46:14.228830 2018] [php7:error] [pid 23226] [client 127.0.0.1:33416] PHP Fatal error:  Uncaught ErrorException: file_put_contents(/var/www/falanga/storage/framework/views/71a3f8294e1e35839e0e0480c2ff81f2c0d88573.php): failed to open stream: Permission denied in /var/www/falanga/vendor/laravel/framework/src/Illuminate/Filesystem/Filesystem.php:122\nStack trace:\n#0 [internal function]: Illuminate\\Foundation\\Bootstrap\\HandleExceptions->handleError(2, 'file_put_conten...', '/var/www/falang...', 122, Array)\n#1 /var/www/falanga/vendor/laravel/framework/src/Illuminate/Filesystem/Filesystem.php(122): file_put_contents('/var/www/falang...', '<?php $__env->s...', 0)\n#2 /var/www/falanga/vendor/laravel/framework/src/Illuminate/View/Compilers/BladeCompiler.php(122): Illuminate\\Filesystem\\Filesystem->put('/var/www/falang...', '<?php $__env->s...')\n#3 /var/www/falanga/vendor/laravel/framework/src/Illuminate/View/Engines/CompilerEngine.php(51): Illuminate\\View\\Compilers\\BladeCompiler->compile('/var/www/falang...')\n#4 /var/www/falanga/vendor/laravel/framework/src/Illuminate/View/View.php(142): Illuminate\\View\\En in /var/www/falanga/vendor/laravel/framework/src/Illuminate/Filesystem/Filesystem.php on line 122
[Sun Dec 02 03:47:02.415047 2018] [php7:error] [pid 23262] [client 127.0.0.1:33420] PHP Fatal error:  Uncaught ErrorException: file_put_contents(/var/www/falanga/storage/framework/views/71a3f8294e1e35839e0e0480c2ff81f2c0d88573.php): failed to open stream: Permission denied in /var/www/falanga/vendor/laravel/framework/src/Illuminate/Filesystem/Filesystem.php:122\nStack trace:\n#0 [internal function]: Illuminate\\Foundation\\Bootstrap\\HandleExceptions->handleError(2, 'file_put_conten...', '/var/www/falang...', 122, Array)\n#1 /var/www/falanga/vendor/laravel/framework/src/Illuminate/Filesystem/Filesystem.php(122): file_put_contents('/var/www/falang...', '<?php $__env->s...', 0)\n#2 /var/www/falanga/vendor/laravel/framework/src/Illuminate/View/Compilers/BladeCompiler.php(122): Illuminate\\Filesystem\\Filesystem->put('/var/www/falang...', '<?php $__env->s...')\n#3 /var/www/falanga/vendor/laravel/framework/src/Illuminate/View/Engines/CompilerEngine.php(51): Illuminate\\View\\Compilers\\BladeCompiler->compile('/var/www/falang...')\n#4 /var/www/falanga/vendor/laravel/framework/src/Illuminate/View/View.php(142): Illuminate\\View\\En in /var/www/falanga/vendor/laravel/framework/src/Illuminate/Filesystem/Filesystem.php on line 122
[Sun Dec 02 03:47:02.415956 2018] [php7:error] [pid 23262] [client 127.0.0.1:33420] PHP Fatal error:  Uncaught ErrorException: file_put_contents(/var/www/falanga/storage/framework/views/71a3f8294e1e35839e0e0480c2ff81f2c0d88573.php): failed to open stream: Permission denied in /var/www/falanga/vendor/laravel/framework/src/Illuminate/Filesystem/Filesystem.php:122\nStack trace:\n#0 [internal function]: Illuminate\\Foundation\\Bootstrap\\HandleExceptions->handleError(2, 'file_put_conten...', '/var/www/falang...', 122, Array)\n#1 /var/www/falanga/vendor/laravel/framework/src/Illuminate/Filesystem/Filesystem.php(122): file_put_contents('/var/www/falang...', '<?php $__env->s...', 0)\n#2 /var/www/falanga/vendor/laravel/framework/src/Illuminate/View/Compilers/BladeCompiler.php(122): Illuminate\\Filesystem\\Filesystem->put('/var/www/falang...', '<?php $__env->s...')\n#3 /var/www/falanga/vendor/laravel/framework/src/Illuminate/View/Engines/CompilerEngine.php(51): Illuminate\\View\\Compilers\\BladeCompiler->compile('/var/www/falang...')\n#4 /var/www/falanga/vendor/laravel/framework/src/Illuminate/View/View.php(142): Illuminate\\View\\En in /var/www/falanga/vendor/laravel/framework/src/Illuminate/Filesystem/Filesystem.php on line 122
[Sun Dec 02 03:47:18.630936 2018] [php7:error] [pid 23264] [client 127.0.0.1:33424] PHP Fatal error:  Uncaught ErrorException: file_put_contents(/var/www/falanga/storage/framework/views/71a3f8294e1e35839e0e0480c2ff81f2c0d88573.php): failed to open stream: Permission denied in /var/www/falanga/vendor/laravel/framework/src/Illuminate/Filesystem/Filesystem.php:122\nStack trace:\n#0 [internal function]: Illuminate\\Foundation\\Bootstrap\\HandleExceptions->handleError(2, 'file_put_conten...', '/var/www/falang...', 122, Array)\n#1 /var/www/falanga/vendor/laravel/framework/src/Illuminate/Filesystem/Filesystem.php(122): file_put_contents('/var/www/falang...', '<?php $__env->s...', 0)\n#2 /var/www/falanga/vendor/laravel/framework/src/Illuminate/View/Compilers/BladeCompiler.php(122): Illuminate\\Filesystem\\Filesystem->put('/var/www/falang...', '<?php $__env->s...')\n#3 /var/www/falanga/vendor/laravel/framework/src/Illuminate/View/Engines/CompilerEngine.php(51): Illuminate\\View\\Compilers\\BladeCompiler->compile('/var/www/falang...')\n#4 /var/www/falanga/vendor/laravel/framework/src/Illuminate/View/View.php(142): Illuminate\\View\\En in /var/www/falanga/vendor/laravel/framework/src/Illuminate/Filesystem/Filesystem.php on line 122
